,name
1,alpha-Tocopherol
2,1-Methoxyphaseollidin
3,D-Ribose 5-phosphate
4,4-Hydroxycinnamic acid
5,Dihydronaringenin-O-sulphate
6,Pyridoxamine
7,sphingosylphosphorylcholine
8,Eplerenone
9,Cervonyl carnitine
10,Indirubin
11,cetrimonium
12,SM(d18:1/16:1(9Z))
13,PS(18:0/18:0)
14,didecyldimethylammonium
15,PC(14:0/16:0)
16,15beta-Hydroxydesogestrel
17,3-Methylhistidine
18,Erythronic acid
19,Porphobilinogen
20,Cer(d18:0/16:0)
21,6-Keto-decanoylcarnitine
22,Pyruvaldehyde
23,"PC(16:0/18:4(6Z,9Z,12Z,15Z))"
24,5-Hydroxymethyl-4-methyluracil
25,2-Aminonicotinic acid
26,PG(18:1(9Z)/18:1(9Z))
27,Pyridoxal
28,Glycerol 3-phosphate
29,Pentadecadienoic acid
30,SM(d18:1/20:0)
31,Mevalonic acid
32,Cyclodopa glucoside
33,Flurandrenolide
34,Aspartylglycosamine
35,3-Methylglutaconic acid
36,Bosentan
37,Barbital
38,Ketamine
39,"PC(18:3(9Z,12Z,15Z)/19:1(9Z))"
40,Caprylic acid
41,Maleimide
42,L-Dihydroorotic acid
43,2-Hydroxybenzaldehyde
44,p-Acetaminobenzaldehyde
45,4-Dodecylbenzenesulfonic acid
46,N-Acetyl-D-glucosamine
47,4-Hydroxyphenylglycine
48,Methionine sulfoxide
49,"LysoPC(20:4(5Z,8Z,11Z,14Z)/0:0)"
50,"1,3-Benzodioxolylbutanamine (BDB)"